2.7881 	WARNING 	Movie2 stim could not be imported and won't be available
2.8836 	WARNING 	TextBox stim could not be imported and won't be available.
2.8837 	WARNING 	TextBox Font Manager Found No Fonts.
21.5692 	DATA 	Keypress: space
22.6887 	DATA 	Keypress: v
22.8893 	DATA 	Keypress: v
23.0230 	DATA 	Keypress: v
23.2235 	DATA 	Keypress: v
23.4909 	DATA 	Keypress: v
23.7248 	DATA 	Keypress: v
23.8920 	DATA 	Keypress: v
24.0926 	DATA 	Keypress: v
24.2597 	DATA 	Keypress: v
24.4601 	DATA 	Keypress: v
24.6273 	DATA 	Keypress: v
24.8278 	DATA 	Keypress: v
24.9615 	DATA 	Keypress: v
25.3291 	DATA 	Keypress: v
25.5630 	DATA 	Keypress: v
25.7302 	DATA 	Keypress: v
25.8973 	DATA 	Keypress: v
26.0652 	DATA 	Keypress: v
26.2315 	DATA 	Keypress: v
26.3987 	DATA 	Keypress: v
26.5992 	DATA 	Keypress: v
26.7662 	DATA 	Keypress: v
26.9669 	DATA 	Keypress: v
27.1673 	DATA 	Keypress: v
27.3345 	DATA 	Keypress: v
27.5017 	DATA 	Keypress: v
27.7022 	DATA 	Keypress: v
27.8694 	DATA 	Keypress: v
28.0363 	DATA 	Keypress: v
28.2369 	DATA 	Keypress: v
28.4040 	DATA 	Keypress: v
28.8720 	DATA 	Keypress: v
29.0734 	DATA 	Keypress: v
29.3065 	DATA 	Keypress: v
29.5070 	DATA 	Keypress: v
29.7076 	DATA 	Keypress: v
29.8747 	DATA 	Keypress: v
30.1086 	DATA 	Keypress: v
30.3425 	DATA 	Keypress: v
30.5097 	DATA 	Keypress: v
30.8105 	DATA 	Keypress: v
30.9777 	DATA 	Keypress: v
31.1450 	DATA 	Keypress: v
31.3786 	DATA 	Keypress: v
31.6126 	DATA 	Keypress: v
31.7798 	DATA 	Keypress: v
32.1474 	DATA 	Keypress: v
32.3479 	DATA 	Keypress: v
32.5150 	DATA 	Keypress: v
32.7825 	DATA 	Keypress: v
32.9829 	DATA 	Keypress: v
33.1834 	DATA 	Keypress: v
33.3506 	DATA 	Keypress: v
33.6515 	DATA 	Keypress: v
33.8520 	DATA 	Keypress: v
34.0525 	DATA 	Keypress: v
34.2530 	DATA 	Keypress: v
51.2652 	DATA 	Keypress: t
51.4657 	DATA 	Keypress: t
51.6671 	DATA 	Keypress: t
51.8335 	DATA 	Keypress: t
52.0339 	DATA 	Keypress: t
52.2009 	DATA 	Keypress: t
52.3347 	DATA 	Keypress: t
52.5352 	DATA 	Keypress: t
52.7358 	DATA 	Keypress: t
52.9029 	DATA 	Keypress: t
53.1034 	DATA 	Keypress: t
53.2371 	DATA 	Keypress: t
53.4042 	DATA 	Keypress: t
53.6383 	DATA 	Keypress: t
53.8387 	DATA 	Keypress: t
54.0058 	DATA 	Keypress: t
54.2063 	DATA 	Keypress: t
54.3735 	DATA 	Keypress: t
54.5740 	DATA 	Keypress: t
54.7746 	DATA 	Keypress: t
54.9417 	DATA 	Keypress: t
55.1088 	DATA 	Keypress: t
55.3093 	DATA 	Keypress: t
55.4763 	DATA 	Keypress: t
55.6435 	DATA 	Keypress: t
55.8107 	DATA 	Keypress: t
55.9777 	DATA 	Keypress: t
56.1449 	DATA 	Keypress: t
56.3454 	DATA 	Keypress: t
56.4791 	DATA 	Keypress: t
56.6463 	DATA 	Keypress: t
56.8133 	DATA 	Keypress: t
57.0139 	DATA 	Keypress: t
57.1809 	DATA 	Keypress: t
57.3481 	DATA 	Keypress: t
57.5487 	DATA 	Keypress: t
57.7491 	DATA 	Keypress: t
