3.3738 	WARNING 	Movie2 stim could not be imported and won't be available
3.4723 	WARNING 	TextBox stim could not be imported and won't be available.
3.4723 	WARNING 	TextBox Font Manager Found No Fonts.
20.5512 	DATA 	version A
25.6686 	DATA 	Keypress: 4
26.7093 	DATA 	Keypress: return
26.7096 	DATA 	RatingScale teddy_rating: (key response) rating=4
26.7097 	DATA 	RatingScale teddy_rating: rating RT=5.747
26.7097 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (4, 4.706), (4, 5.747)]
27.6572 	DATA 	Keypress: 5
28.4808 	DATA 	Keypress: return
28.4811 	DATA 	RatingScale MM_rating: (key response) rating=5
28.4812 	DATA 	RatingScale MM_rating: rating RT=1.763
28.4812 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (5, 0.94), (5, 1.763)]
29.3955 	DATA 	Keypress: 7
30.2020 	DATA 	Keypress: return
30.2023 	DATA 	RatingScale BBQ_rating: (key response) rating=7
30.2024 	DATA 	RatingScale BBQ_rating: rating RT=1.712
30.2024 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (7, 0.905), (7, 1.712)]
31.7518 	DATA 	Keypress: 2
32.5582 	DATA 	Keypress: return
32.5585 	DATA 	RatingScale Hunger_rating: (key response) rating=2
32.5586 	DATA 	RatingScale Hunger_rating: rating RT=2.348
32.5586 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (2, 1.542), (2, 2.348)]
33.2870 	DATA 	Keypress: space
34.1896 	DATA 	Keypress: t
34.1898 	DATA 	Keypress: lctrl
34.5571 	DATA 	Keypress: t
34.9582 	DATA 	Keypress: t
35.1923 	DATA 	Keypress: t
35.4596 	DATA 	Keypress: t
35.6934 	DATA 	Keypress: t
35.9610 	DATA 	Keypress: t
36.3285 	DATA 	Keypress: t
36.5625 	DATA 	Keypress: t
36.8299 	DATA 	Keypress: t
36.8301 	DATA 	win A
37.2978 	DATA 	Keypress: t
37.5987 	DATA 	Keypress: t
37.8995 	DATA 	Keypress: t
38.1669 	DATA 	Keypress: t
38.4008 	DATA 	Keypress: t
38.7351 	DATA 	Keypress: t
39.1027 	DATA 	Keypress: t
39.3700 	DATA 	Keypress: t
39.7043 	DATA 	Keypress: t
39.9717 	DATA 	Keypress: t
40.1723 	DATA 	Keypress: t
40.3393 	DATA 	Keypress: t
40.3395 	DATA 	win A
40.5399 	DATA 	Keypress: t
41.5091 	DATA 	Keypress: t
41.7431 	DATA 	Keypress: t
41.9436 	DATA 	Keypress: t
42.1441 	DATA 	Keypress: t
42.3447 	DATA 	Keypress: t
42.6121 	DATA 	Keypress: t
42.6123 	DATA 	win A
42.7792 	DATA 	Keypress: t
42.9797 	DATA 	Keypress: t
43.2137 	DATA 	Keypress: t
43.4141 	DATA 	Keypress: t
43.7088 	DATA 	Keypress: t
43.8319 	DATA 	Keypress: t
44.0325 	DATA 	Keypress: t
45.1367 	DATA 	Keypress: t
48.5780 	DATA 	Keypress: t
48.5793 	DATA 	correct
51.9203 	DATA 	Keypress: v
52.1207 	DATA 	Keypress: v
52.3213 	DATA 	Keypress: v
52.4884 	DATA 	Keypress: v
52.6890 	DATA 	Keypress: v
52.8895 	DATA 	Keypress: v
52.8898 	DATA 	win B
53.0567 	DATA 	Keypress: v
54.1930 	DATA 	Keypress: v
54.3935 	DATA 	Keypress: v
54.5941 	DATA 	Keypress: v
54.7612 	DATA 	Keypress: v
54.9617 	DATA 	Keypress: v
55.1622 	DATA 	Keypress: v
55.1625 	DATA 	win B
55.3294 	DATA 	Keypress: v
55.5633 	DATA 	Keypress: v
55.7640 	DATA 	Keypress: v
55.9645 	DATA 	Keypress: v
56.2319 	DATA 	Keypress: v
56.4324 	DATA 	Keypress: v
56.6329 	DATA 	Keypress: v
56.8000 	DATA 	Keypress: v
56.9672 	DATA 	Keypress: v
57.2011 	DATA 	Keypress: v
57.3682 	DATA 	Keypress: v
57.5354 	DATA 	Keypress: v
57.7025 	DATA 	Keypress: v
57.7028 	DATA 	win B
57.9028 	DATA 	Keypress: v
58.0701 	DATA 	Keypress: v
58.2706 	DATA 	Keypress: v
58.5045 	DATA 	Keypress: v
58.8065 	DATA 	Keypress: v
58.9056 	DATA 	Keypress: v
59.1396 	DATA 	Keypress: v
59.3400 	DATA 	Keypress: v
59.5740 	DATA 	Keypress: v
59.7747 	DATA 	Keypress: v
60.0086 	DATA 	Keypress: v
60.9445 	DATA 	Keypress: v
62.9164 	DATA 	Keypress: v
62.9174 	DATA 	correct
65.8409 	DATA 	Keypress: t
66.0415 	DATA 	Keypress: t
66.2085 	DATA 	Keypress: t
66.3756 	DATA 	Keypress: t
66.5427 	DATA 	Keypress: t
66.7432 	DATA 	Keypress: t
67.0440 	DATA 	Keypress: t
67.3448 	DATA 	Keypress: t
67.3451 	DATA 	win A
67.5788 	DATA 	Keypress: t
67.7795 	DATA 	Keypress: t
68.0133 	DATA 	Keypress: t
68.1808 	DATA 	Keypress: t
68.4144 	DATA 	Keypress: t
68.6149 	DATA 	Keypress: t
68.8154 	DATA 	Keypress: t
69.0493 	DATA 	Keypress: t
69.2165 	DATA 	Keypress: t
69.3836 	DATA 	Keypress: t
69.5841 	DATA 	Keypress: t
69.5843 	DATA 	win A
69.7846 	DATA 	Keypress: t
70.0187 	DATA 	Keypress: t
70.2191 	DATA 	Keypress: t
70.4196 	DATA 	Keypress: t
70.6537 	DATA 	Keypress: t
70.8208 	DATA 	Keypress: t
71.0217 	DATA 	Keypress: t
71.2218 	DATA 	Keypress: t
71.4224 	DATA 	Keypress: t
71.6230 	DATA 	Keypress: t
71.7902 	DATA 	Keypress: t
72.0240 	DATA 	Keypress: t
72.2246 	DATA 	Keypress: t
72.2248 	DATA 	win A
72.3915 	DATA 	Keypress: t
72.5588 	DATA 	Keypress: t
72.7593 	DATA 	Keypress: t
72.9933 	DATA 	Keypress: t
73.1938 	DATA 	Keypress: t
73.3778 	DATA 	Keypress: t
73.6116 	DATA 	Keypress: t
74.1130 	DATA 	Keypress: t
74.5140 	DATA 	Keypress: t
75.7508 	DATA 	Keypress: t
78.5247 	DATA 	Keypress: t
78.5258 	DATA 	correct
80.0288 	DATA 	Keypress: t
80.2627 	DATA 	Keypress: t
80.4298 	DATA 	Keypress: t
80.6304 	DATA 	Keypress: t
80.7976 	DATA 	Keypress: t
80.9646 	DATA 	Keypress: t
81.1652 	DATA 	Keypress: t
81.3991 	DATA 	Keypress: t
81.5662 	DATA 	Keypress: t
81.5665 	DATA 	win A
81.7668 	DATA 	Keypress: t
81.9673 	DATA 	Keypress: t
82.1344 	DATA 	Keypress: t
82.3015 	DATA 	Keypress: t
82.4686 	DATA 	Keypress: t
82.6692 	DATA 	Keypress: t
82.8028 	DATA 	Keypress: t
83.0035 	DATA 	Keypress: t
83.2040 	DATA 	Keypress: t
83.3710 	DATA 	Keypress: t
83.5715 	DATA 	Keypress: t
83.7721 	DATA 	Keypress: t
83.9392 	DATA 	Keypress: t
84.1398 	DATA 	Keypress: t
84.3070 	DATA 	Keypress: t
84.3072 	DATA 	win A
84.5074 	DATA 	Keypress: t
84.7079 	DATA 	Keypress: t
84.8751 	DATA 	Keypress: t
85.0756 	DATA 	Keypress: t
85.2763 	DATA 	Keypress: t
85.4766 	DATA 	Keypress: t
85.6773 	DATA 	Keypress: t
85.8110 	DATA 	Keypress: t
86.0448 	DATA 	Keypress: t
86.2120 	DATA 	Keypress: t
86.4459 	DATA 	Keypress: t
86.5796 	DATA 	Keypress: t
86.7468 	DATA 	Keypress: t
86.9473 	DATA 	Keypress: t
87.1143 	DATA 	Keypress: t
87.1147 	DATA 	win A
87.3149 	DATA 	Keypress: t
87.5155 	DATA 	Keypress: t
87.6825 	DATA 	Keypress: t
87.8496 	DATA 	Keypress: t
88.0503 	DATA 	Keypress: t
88.2031 	DATA 	Keypress: t
88.4011 	DATA 	Keypress: t
88.5682 	DATA 	Keypress: t
89.3036 	DATA 	Keypress: t
91.9775 	DATA 	Keypress: t
91.9785 	DATA 	correct
93.9828 	DATA 	Keypress: v
94.1499 	DATA 	Keypress: v
94.3170 	DATA 	Keypress: v
94.4841 	DATA 	Keypress: v
94.6512 	DATA 	Keypress: v
94.8517 	DATA 	Keypress: v
95.0189 	DATA 	Keypress: v
95.1860 	DATA 	Keypress: v
95.1863 	DATA 	win B
95.3534 	DATA 	Keypress: v
95.5202 	DATA 	Keypress: v
95.7207 	DATA 	Keypress: v
95.8878 	DATA 	Keypress: v
96.0884 	DATA 	Keypress: v
96.2555 	DATA 	Keypress: v
96.4225 	DATA 	Keypress: v
96.5898 	DATA 	Keypress: v
96.7903 	DATA 	Keypress: v
96.9574 	DATA 	Keypress: v
97.1243 	DATA 	Keypress: v
97.3250 	DATA 	Keypress: v
97.4922 	DATA 	Keypress: v
97.4924 	DATA 	win B
97.6926 	DATA 	Keypress: v
97.8932 	DATA 	Keypress: v
98.0938 	DATA 	Keypress: v
98.2943 	DATA 	Keypress: v
98.4614 	DATA 	Keypress: v
98.6619 	DATA 	Keypress: v
98.8290 	DATA 	Keypress: v
99.0630 	DATA 	Keypress: v
99.2635 	DATA 	Keypress: v
99.4306 	DATA 	Keypress: v
99.6646 	DATA 	Keypress: v
99.8652 	DATA 	Keypress: v
100.0323 	DATA 	Keypress: v
100.2327 	DATA 	Keypress: v
100.4333 	DATA 	Keypress: v
100.4336 	DATA 	win B
100.6339 	DATA 	Keypress: v
100.8344 	DATA 	Keypress: v
101.0016 	DATA 	Keypress: v
101.3023 	DATA 	Keypress: v
101.5296 	DATA 	Keypress: v
101.6867 	DATA 	Keypress: v
101.8873 	DATA 	Keypress: v
102.6226 	DATA 	Keypress: v
104.7281 	DATA 	Keypress: v
104.7292 	DATA 	correct
108.8726 	DATA 	Keypress: t
109.1066 	DATA 	Keypress: t
109.2736 	DATA 	Keypress: t
109.4742 	DATA 	Keypress: t
109.6747 	DATA 	Keypress: t
109.8753 	DATA 	Keypress: t
110.0757 	DATA 	Keypress: t
110.2096 	DATA 	Keypress: t
110.4434 	DATA 	Keypress: t
110.4436 	DATA 	win A
