3.4570 	WARNING 	Movie2 stim could not be imported and won't be available
3.5499 	WARNING 	TextBox stim could not be imported and won't be available.
3.5499 	WARNING 	TextBox Font Manager Found No Fonts.
35.3532 	DATA 	Keypress: space
36.8071 	DATA 	Keypress: t
37.0410 	DATA 	Keypress: t
37.2082 	DATA 	Keypress: t
37.3753 	DATA 	Keypress: t
37.5758 	DATA 	Keypress: t
37.7429 	DATA 	Keypress: t
37.9435 	DATA 	Keypress: t
38.1105 	DATA 	Keypress: t
38.2777 	DATA 	Keypress: t
38.4448 	DATA 	Keypress: t
38.6119 	DATA 	Keypress: t
38.8124 	DATA 	Keypress: t
39.0129 	DATA 	Keypress: t
39.2136 	DATA 	Keypress: t
39.3806 	DATA 	Keypress: t
39.5479 	DATA 	Keypress: t
39.7483 	DATA 	Keypress: t
39.9488 	DATA 	Keypress: t
40.1160 	DATA 	Keypress: t
40.3165 	DATA 	Keypress: t
40.5504 	DATA 	Keypress: t
40.7512 	DATA 	Keypress: t
40.9514 	DATA 	Keypress: t
41.1519 	DATA 	Keypress: t
41.4527 	DATA 	Keypress: t
41.6534 	DATA 	Keypress: t
41.8539 	DATA 	Keypress: t
42.0210 	DATA 	Keypress: t
42.2550 	DATA 	Keypress: t
42.4556 	DATA 	Keypress: t
42.6895 	DATA 	Keypress: t
42.8566 	DATA 	Keypress: t
43.0571 	DATA 	Keypress: t
43.2242 	DATA 	Keypress: t
43.4248 	DATA 	Keypress: t
43.6587 	DATA 	Keypress: t
43.8592 	DATA 	Keypress: t
44.0598 	DATA 	Keypress: t
44.2278 	DATA 	Keypress: t
44.4276 	DATA 	Keypress: t
44.8954 	DATA 	Keypress: v
45.0624 	DATA 	Keypress: v
45.2296 	DATA 	Keypress: v
45.3967 	DATA 	Keypress: v
45.5639 	DATA 	Keypress: v
45.7644 	DATA 	Keypress: v
45.9315 	DATA 	Keypress: v
46.1321 	DATA 	Keypress: v
46.3326 	DATA 	Keypress: v
46.7671 	DATA 	Keypress: t
46.9676 	DATA 	Keypress: t
47.1346 	DATA 	Keypress: t
47.3018 	DATA 	Keypress: t
47.4690 	DATA 	Keypress: t
47.6026 	DATA 	Keypress: t
47.7696 	DATA 	Keypress: t
48.0371 	DATA 	Keypress: t
48.1372 	DATA 	Keypress: t
48.3378 	DATA 	Keypress: t
48.5050 	DATA 	Keypress: t
48.7055 	DATA 	Keypress: t
48.9061 	DATA 	Keypress: t
49.4409 	DATA 	Keypress: t
49.6414 	DATA 	Keypress: t
49.8418 	DATA 	Keypress: t
60.5372 	DATA 	Keypress: g
60.5706 	DATA 	Keypress: t
61.0386 	DATA 	Keypress: t
61.3059 	DATA 	Keypress: t
61.6735 	DATA 	Keypress: t
61.9410 	DATA 	Keypress: t
62.2084 	DATA 	Keypress: t
62.6429 	DATA 	Keypress: t
62.9770 	DATA 	Keypress: t
63.3782 	DATA 	Keypress: t
63.6121 	DATA 	Keypress: t
64.0801 	DATA 	Keypress: t
64.3808 	DATA 	Keypress: t
64.6148 	DATA 	Keypress: t
64.8821 	DATA 	Keypress: t
66.0185 	DATA 	Keypress: t
66.2525 	DATA 	Keypress: t
66.4865 	DATA 	Keypress: t
66.7205 	DATA 	Keypress: t
66.9544 	DATA 	Keypress: t
67.1549 	DATA 	Keypress: t
67.3889 	DATA 	Keypress: t
67.6897 	DATA 	Keypress: t
67.9570 	DATA 	Keypress: t
68.1911 	DATA 	Keypress: t
68.3916 	DATA 	Keypress: t
68.6255 	DATA 	Keypress: t
68.8260 	DATA 	Keypress: t
69.0601 	DATA 	Keypress: t
69.2605 	DATA 	Keypress: t
69.4945 	DATA 	Keypress: t
69.7284 	DATA 	Keypress: t
69.9624 	DATA 	Keypress: t
70.1630 	DATA 	Keypress: t
70.3638 	DATA 	Keypress: t
70.6309 	DATA 	Keypress: t
70.8648 	DATA 	Keypress: t
71.1323 	DATA 	Keypress: t
71.3661 	DATA 	Keypress: t
71.5666 	DATA 	Keypress: t
88.8128 	DATA 	Keypress: t
89.0134 	DATA 	Keypress: t
89.1470 	DATA 	Keypress: t
89.3475 	DATA 	Keypress: t
89.4812 	DATA 	Keypress: t
89.6819 	DATA 	Keypress: t
89.8490 	DATA 	Keypress: t
90.0160 	DATA 	Keypress: t
93.2247 	DATA 	Keypress: t
93.4586 	DATA 	Keypress: t
93.6926 	DATA 	Keypress: t
93.9265 	DATA 	Keypress: t
94.1940 	DATA 	Keypress: t
94.4615 	DATA 	Keypress: t
95.1300 	DATA 	Keypress: t
95.5308 	DATA 	Keypress: t
119.6955 	DATA 	Keypress: v
132.0285 	DATA 	Keypress: v
132.2290 	DATA 	Keypress: v
132.3961 	DATA 	Keypress: v
132.5633 	DATA 	Keypress: v
132.7304 	DATA 	Keypress: v
132.8974 	DATA 	Keypress: v
133.0645 	DATA 	Keypress: v
133.3320 	DATA 	Keypress: v
133.5659 	DATA 	Keypress: v
133.7331 	DATA 	Keypress: v
133.9336 	DATA 	Keypress: v
134.1007 	DATA 	Keypress: v
134.3012 	DATA 	Keypress: v
134.4683 	DATA 	Keypress: v
134.6354 	DATA 	Keypress: v
134.8360 	DATA 	Keypress: v
135.0031 	DATA 	Keypress: v
135.2705 	DATA 	Keypress: v
135.4710 	DATA 	Keypress: v
135.7049 	DATA 	Keypress: v
135.9055 	DATA 	Keypress: v
136.1061 	DATA 	Keypress: v
136.3066 	DATA 	Keypress: v
136.5071 	DATA 	Keypress: v
136.7077 	DATA 	Keypress: v
136.9415 	DATA 	Keypress: v
137.1421 	DATA 	Keypress: v
137.3762 	DATA 	Keypress: v
137.5432 	DATA 	Keypress: v
137.7772 	DATA 	Keypress: v
138.0112 	DATA 	Keypress: v
138.4121 	DATA 	Keypress: v
138.6463 	DATA 	Keypress: v
138.8467 	DATA 	Keypress: v
139.0472 	DATA 	Keypress: v
139.2478 	DATA 	Keypress: v
139.4483 	DATA 	Keypress: v
139.6489 	DATA 	Keypress: v
139.8159 	DATA 	Keypress: v
140.0165 	DATA 	Keypress: v
140.2505 	DATA 	Keypress: v
140.4511 	DATA 	Keypress: v
140.6515 	DATA 	Keypress: v
140.8521 	DATA 	Keypress: v
141.0526 	DATA 	Keypress: v
141.2866 	DATA 	Keypress: v
141.4871 	DATA 	Keypress: v
141.6876 	DATA 	Keypress: v
141.8882 	DATA 	Keypress: v
142.0887 	DATA 	Keypress: v
142.3227 	DATA 	Keypress: v
142.5232 	DATA 	Keypress: v
142.7238 	DATA 	Keypress: v
142.9242 	DATA 	Keypress: v
143.1248 	DATA 	Keypress: v
143.3254 	DATA 	Keypress: v
143.5926 	DATA 	Keypress: v
156.8115 	DATA 	Keypress: t
157.0120 	DATA 	Keypress: t
157.2126 	DATA 	Keypress: t
157.3797 	DATA 	Keypress: t
157.5803 	DATA 	Keypress: t
157.8141 	DATA 	Keypress: t
158.0481 	DATA 	Keypress: t
158.3491 	DATA 	Keypress: t
